component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
cit,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
Pool_cit_icit,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
icit,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
fad,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
fdp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
udpglcur,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dgtp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ctp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dctp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
ditp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dutp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
itp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
utp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
23dpg,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
atp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
datp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
dttp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
gtp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
nadph,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
prpp,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
phpyr,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
coa,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
accoa,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
malcoa,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
succoa,1,10,1,10,1,10,2,10,0,10,2,10,,,,,0,1.00E+06,100,1.00E+15,-100,1.00E+06
