component_group_name,n_heavy_l ,n_heavy_u,n_light_l,n_light_u,n_detecting_l,n_detecting_u,n_quantifying_l,n_quantifying_u,n_identifying_l,n_identifying_u,n_transitions_l,n_transitions_u,ion_ratio_pair_name_1,ion_ratio_pair_name_2,ion_ratio_l,ion_ratio_u,retention_time_l,retention_time_u,intensity_l,intensity_u,overall_quality_l,overall_quality_u
fol,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dgdp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
gdp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
6pgc,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
Pool_2pg_3pg,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dcdp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
adp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
2mcit,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
udp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
acon-C,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
nadp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dadp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
cit,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
Pool_cit_icit,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
icit,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
fad,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
fdp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
udpglcur,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dgtp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
ctp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dctp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
ditp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dutp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
itp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
utp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
23dpg,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
atp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
datp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
dttp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
gtp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
nadph,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
prpp,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
phpyr,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
coa,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
accoa,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
malcoa,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
succoa,0,100,0,100,0,100,2,100,0,100,2,100,,,,,0,1.00E+12,0,1.00E+15,-500,1.00E+12
