,ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
32,HMDB:HMDB0000492,,HMDB:HMDB0000492,HMDB:HMDB0000492,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
33,HMDB:HMDB0002306,,HMDB:HMDB0002306,HMDB:HMDB0002306,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
34,HMDB:HMDB0000586,,HMDB:HMDB0000586,HMDB:HMDB0000586,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
35,HMDB:HMDB0037240,,HMDB:HMDB0037240,HMDB:HMDB0037240,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
36,HMDB:HMDB0000464,,HMDB:HMDB0000464,HMDB:HMDB0000464,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
37,HMDB:HMDB0015458,,HMDB:HMDB0015458,HMDB:HMDB0015458,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
38,HMDB:HMDB0061869,,HMDB:HMDB0061869,HMDB:HMDB0061869,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
39,HMDB:HMDB0002078,,HMDB:HMDB0002078,HMDB:HMDB0002078,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
40,HMDB:HMDB0001967,,HMDB:HMDB0001967,HMDB:HMDB0001967,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
41,HMDB:HMDB0035807,,HMDB:HMDB0035807,HMDB:HMDB0035807,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
42,HMDB:HMDB0034769,,HMDB:HMDB0034769,HMDB:HMDB0034769,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
43,HMDB:HMDB0000990,,HMDB:HMDB0000990,HMDB:HMDB0000990,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
44,HMDB:HMDB0031630,,HMDB:HMDB0031630,HMDB:HMDB0031630,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
45,HMDB:HMDB0001536,,HMDB:HMDB0001536,HMDB:HMDB0001536,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
46,HMDB:HMDB0000087,,HMDB:HMDB0000087,HMDB:HMDB0000087,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
47,HMDB:HMDB0000142,,HMDB:HMDB0000142,HMDB:HMDB0000142,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
48,HMDB:HMDB0000108,,HMDB:HMDB0000108,HMDB:HMDB0000108,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
49,HMDB:HMDB0002786,,HMDB:HMDB0002786,HMDB:HMDB0002786,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
50,HMDB:HMDB0001966,,HMDB:HMDB0001966,HMDB:HMDB0001966,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
51,HMDB:HMDB0035409,,HMDB:HMDB0035409,HMDB:HMDB0035409,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
52,HMDB:HMDB0003227,,HMDB:HMDB0003227,HMDB:HMDB0003227,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
53,HMDB:HMDB0002503,,HMDB:HMDB0002503,HMDB:HMDB0002503,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
54,HMDB:HMDB0000599,,HMDB:HMDB0000599,HMDB:HMDB0000599,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
55,HMDB:HMDB0001050,,HMDB:HMDB0001050,HMDB:HMDB0001050,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
56,HMDB:HMDB0006803,,HMDB:HMDB0006803,HMDB:HMDB0006803,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
57,HMDB:HMDB0041792,,HMDB:HMDB0041792,HMDB:HMDB0041792,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
58,HMDB:HMDB0001333,,HMDB:HMDB0001333,HMDB:HMDB0001333,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
59,HMDB:HMDB0061870,,HMDB:HMDB0061870,HMDB:HMDB0061870,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
60,HMDB:HMDB0000692,,HMDB:HMDB0000692,HMDB:HMDB0000692,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
61,HMDB:HMDB0041822,,HMDB:HMDB0041822,HMDB:HMDB0041822,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
62,HMDB:HMDB0168957,,HMDB:HMDB0168957,HMDB:HMDB0168957,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
63,HMDB:HMDB0002457,,HMDB:HMDB0002457,HMDB:HMDB0002457,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
64,HMDB:HMDB0001453,,HMDB:HMDB0001453,HMDB:HMDB0001453,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
65,HMDB:HMDB0001659,,HMDB:HMDB0001659,HMDB:HMDB0001659,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
66,HMDB:HMDB0000608,,HMDB:HMDB0000608,HMDB:HMDB0000608,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
67,HMDB:HMDB0001122,,HMDB:HMDB0001122,HMDB:HMDB0001122,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
68,HMDB:HMDB0001842,,HMDB:HMDB0001842,HMDB:HMDB0001842,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
69,HMDB:HMDB0000906,,HMDB:HMDB0000906,HMDB:HMDB0000906,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
70,HMDB:HMDB0035659,,HMDB:HMDB0035659,HMDB:HMDB0035659,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
71,HMDB:HMDB0000042,,HMDB:HMDB0000042,HMDB:HMDB0000042,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
72,HMDB:HMDB0000294,,HMDB:HMDB0000294,HMDB:HMDB0000294,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
73,HMDB:HMDB0000820,,HMDB:HMDB0000820,HMDB:HMDB0000820,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
74,HMDB:HMDB0031225,,HMDB:HMDB0031225,HMDB:HMDB0031225,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
75,HMDB:HMDB0003551,,HMDB:HMDB0003551,HMDB:HMDB0003551,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
76,HMDB:HMDB0000149,,HMDB:HMDB0000149,HMDB:HMDB0000149,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
77,HMDB:HMDB0002878,,HMDB:HMDB0002878,HMDB:HMDB0002878,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
78,HMDB:HMDB0000595,,HMDB:HMDB0000595,HMDB:HMDB0000595,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
79,HMDB:HMDB0035731,,HMDB:HMDB0035731,HMDB:HMDB0035731,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
80,HMDB:HMDB0002303,,HMDB:HMDB0002303,HMDB:HMDB0002303,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
81,HMDB:HMDB0031430,,HMDB:HMDB0031430,HMDB:HMDB0031430,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
82,HMDB:HMDB0062693,,HMDB:HMDB0062693,HMDB:HMDB0062693,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
83,HMDB:HMDB0000657,,HMDB:HMDB0000657,HMDB:HMDB0000657,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
84,HMDB:HMDB0002179,,HMDB:HMDB0002179,HMDB:HMDB0002179,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
85,HMDB:HMDB0015532,,HMDB:HMDB0015532,HMDB:HMDB0015532,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
86,HMDB:HMDB0034834,,HMDB:HMDB0034834,HMDB:HMDB0034834,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
87,HMDB:HMDB0034825,,HMDB:HMDB0034825,HMDB:HMDB0034825,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
88,HMDB:HMDB0061878,,HMDB:HMDB0061878,HMDB:HMDB0061878,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
89,HMDB:HMDB0034826,,HMDB:HMDB0034826,HMDB:HMDB0034826,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
90,HMDB:HMDB0031323,,HMDB:HMDB0031323,HMDB:HMDB0031323,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
91,HMDB:HMDB0006853,,HMDB:HMDB0006853,HMDB:HMDB0006853,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
92,HMDB:HMDB0001525,,HMDB:HMDB0001525,HMDB:HMDB0001525,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
93,HMDB:HMDB0002077,,HMDB:HMDB0002077,HMDB:HMDB0002077,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
94,HMDB:HMDB0012497,,HMDB:HMDB0012497,HMDB:HMDB0012497,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
95,HMDB:HMDB0006804,,HMDB:HMDB0006804,HMDB:HMDB0006804,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
96,HMDB:HMDB0034233,,HMDB:HMDB0034233,HMDB:HMDB0034233,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
97,HMDB:HMDB0004101,,HMDB:HMDB0004101,HMDB:HMDB0004101,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
98,HMDB:HMDB0004296,,HMDB:HMDB0004296,HMDB:HMDB0004296,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
99,HMDB:HMDB0031641,,HMDB:HMDB0031641,HMDB:HMDB0031641,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
100,HMDB:HMDB0001478,,HMDB:HMDB0001478,HMDB:HMDB0001478,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
101,HMDB:HMDB0001167,,HMDB:HMDB0001167,HMDB:HMDB0001167,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
102,HMDB:HMDB0000246,,HMDB:HMDB0000246,HMDB:HMDB0000246,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
103,HMDB:HMDB0029603,,HMDB:HMDB0029603,HMDB:HMDB0029603,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
104,HMDB:HMDB0034106,,HMDB:HMDB0034106,HMDB:HMDB0034106,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
105,HMDB:HMDB0001106,,HMDB:HMDB0001106,HMDB:HMDB0001106,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
106,HMDB:HMDB0001522,,HMDB:HMDB0001522,HMDB:HMDB0001522,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
107,HMDB:HMDB0031321,,HMDB:HMDB0031321,HMDB:HMDB0031321,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
108,HMDB:HMDB0002501,,HMDB:HMDB0002501,HMDB:HMDB0002501,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
109,HMDB:HMDB0000119,,HMDB:HMDB0000119,HMDB:HMDB0000119,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
110,HMDB:HMDB0031635,,HMDB:HMDB0031635,HMDB:HMDB0031635,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
111,HMDB:HMDB0000237,,HMDB:HMDB0000237,HMDB:HMDB0000237,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
112,HMDB:HMDB0031419,,HMDB:HMDB0031419,HMDB:HMDB0031419,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
113,HMDB:HMDB0062210,,HMDB:HMDB0062210,HMDB:HMDB0062210,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
114,HMDB:HMDB0004327,,HMDB:HMDB0004327,HMDB:HMDB0004327,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
115,HMDB:HMDB0000002,,HMDB:HMDB0000002,HMDB:HMDB0000002,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
116,HMDB:HMDB0002290,,HMDB:HMDB0002290,HMDB:HMDB0002290,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
117,HMDB:HMDB0012974,,HMDB:HMDB0012974,HMDB:HMDB0012974,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
118,HMDB:HMDB0000123,,HMDB:HMDB0000123,HMDB:HMDB0000123,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
119,HMDB:HMDB0000925,,HMDB:HMDB0000925,HMDB:HMDB0000925,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
120,HMDB:HMDB0036574,,HMDB:HMDB0036574,HMDB:HMDB0036574,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
121,HMDB:HMDB0031188,,HMDB:HMDB0031188,HMDB:HMDB0031188,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
122,HMDB:HMDB0034155,,HMDB:HMDB0034155,HMDB:HMDB0034155,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
123,HMDB:HMDB0000115,,HMDB:HMDB0000115,HMDB:HMDB0000115,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
124,HMDB:HMDB0015140,,HMDB:HMDB0015140,HMDB:HMDB0015140,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
125,HMDB:HMDB0031238,,HMDB:HMDB0031238,HMDB:HMDB0031238,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
126,HMDB:HMDB0001881,,HMDB:HMDB0001881,HMDB:HMDB0001881,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
127,HMDB:HMDB0002991,,HMDB:HMDB0002991,HMDB:HMDB0002991,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
128,HMDB:HMDB0012295,,HMDB:HMDB0012295,HMDB:HMDB0012295,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
129,HMDB:HMDB0013860,,HMDB:HMDB0013860,HMDB:HMDB0013860,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
130,HMDB:HMDB0002151,,HMDB:HMDB0002151,HMDB:HMDB0002151,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
131,HMDB:HMDB0001505,,HMDB:HMDB0001505,HMDB:HMDB0001505,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
132,HMDB:HMDB0002500,,HMDB:HMDB0002500,HMDB:HMDB0002500,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
133,HMDB:HMDB0000926,,HMDB:HMDB0000926,HMDB:HMDB0000926,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
134,HMDB:HMDB0001349,,HMDB:HMDB0001349,HMDB:HMDB0001349,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
135,HMDB:HMDB0040184,,HMDB:HMDB0040184,HMDB:HMDB0040184,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
136,HMDB:HMDB0031332,,HMDB:HMDB0031332,HMDB:HMDB0031332,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
137,HMDB:HMDB0003361,,HMDB:HMDB0003361,HMDB:HMDB0003361,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
138,HMDB:HMDB0033113,,HMDB:HMDB0033113,HMDB:HMDB0033113,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
139,HMDB:HMDB0011110,,HMDB:HMDB0011110,HMDB:HMDB0011110,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
140,HMDB:HMDB0000240,,HMDB:HMDB0000240,HMDB:HMDB0000240,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
141,HMDB:HMDB0001443,,HMDB:HMDB0001443,HMDB:HMDB0001443,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
142,HMDB:HMDB0013749,,HMDB:HMDB0013749,HMDB:HMDB0013749,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
143,HMDB:HMDB0015344,,HMDB:HMDB0015344,HMDB:HMDB0015344,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
144,HMDB:HMDB0031544,,HMDB:HMDB0031544,HMDB:HMDB0031544,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
145,HMDB:HMDB0003929,,HMDB:HMDB0003929,HMDB:HMDB0003929,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
146,HMDB:HMDB0033529,,HMDB:HMDB0033529,HMDB:HMDB0033529,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
147,HMDB:HMDB0031548,,HMDB:HMDB0031548,HMDB:HMDB0031548,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
148,HMDB:HMDB0029718,,HMDB:HMDB0029718,HMDB:HMDB0029718,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
149,HMDB:HMDB0032330,,HMDB:HMDB0032330,HMDB:HMDB0032330,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
150,HMDB:HMDB0004363,,HMDB:HMDB0004363,HMDB:HMDB0004363,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
151,HMDB:HMDB0001184,,HMDB:HMDB0001184,HMDB:HMDB0001184,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
152,HMDB:HMDB0061875,,HMDB:HMDB0061875,HMDB:HMDB0061875,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
153,HMDB:HMDB0060253,,HMDB:HMDB0060253,HMDB:HMDB0060253,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
154,HMDB:HMDB0029597,,HMDB:HMDB0029597,HMDB:HMDB0029597,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
155,HMDB:HMDB0001327,,HMDB:HMDB0001327,HMDB:HMDB0001327,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
156,HMDB:HMDB0029713,,HMDB:HMDB0029713,HMDB:HMDB0029713,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
157,HMDB:HMDB0002039,,HMDB:HMDB0002039,HMDB:HMDB0002039,0,,0,2 ppm,0,2 ppm,,,,,1,0,,Light,1,1,,1,False,False,False
