,IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,n_points,transformation_model,transformation_model_param_y_weight,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max,transformation_model_param_x_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_symmetric_regression,transformation_model_param_slope,transformation_model_param_intercept
16,,HMDB:HMDB0002175,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
17,,HMDB:HMDB0001361,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
18,,HMDB:HMDB0001371,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
19,,HMDB:HMDB0029594,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
20,,HMDB:HMDB0003378,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
21,,HMDB:HMDB0001426,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
22,,HMDB:HMDB0001315,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
23,,HMDB:HMDB0000164,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
24,,HMDB:HMDB0000598,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
25,,HMDB:HMDB0001377,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
26,,HMDB:HMDB0001875,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
27,,HMDB:HMDB0012973,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
28,,HMDB:HMDB0003338,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
29,,HMDB:HMDB0003276,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
30,,HMDB:HMDB0034790,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
31,,HMDB:HMDB0003125,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
32,,HMDB:HMDB0000492,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
33,,HMDB:HMDB0002306,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
34,,HMDB:HMDB0000586,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
35,,HMDB:HMDB0037240,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
36,,HMDB:HMDB0000464,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
37,,HMDB:HMDB0015458,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
38,,HMDB:HMDB0061869,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
39,,HMDB:HMDB0002078,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
40,,HMDB:HMDB0001967,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
41,,HMDB:HMDB0035807,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
42,,HMDB:HMDB0034769,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
43,,HMDB:HMDB0000990,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
44,,HMDB:HMDB0031630,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
45,,HMDB:HMDB0001536,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
46,,HMDB:HMDB0000087,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
47,,HMDB:HMDB0000142,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
48,,HMDB:HMDB0000108,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
49,,HMDB:HMDB0002786,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
50,,HMDB:HMDB0001966,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
51,,HMDB:HMDB0035409,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
52,,HMDB:HMDB0003227,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
53,,HMDB:HMDB0002503,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
54,,HMDB:HMDB0000599,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
55,,HMDB:HMDB0001050,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
56,,HMDB:HMDB0006803,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
57,,HMDB:HMDB0041792,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
58,,HMDB:HMDB0001333,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
59,,HMDB:HMDB0061870,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
60,,HMDB:HMDB0000692,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
61,,HMDB:HMDB0041822,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
62,,HMDB:HMDB0168957,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
63,,HMDB:HMDB0002457,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
64,,HMDB:HMDB0001453,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
65,,HMDB:HMDB0001659,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
66,,HMDB:HMDB0000608,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
67,,HMDB:HMDB0001122,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
68,,HMDB:HMDB0001842,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
69,,HMDB:HMDB0000906,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
70,,HMDB:HMDB0035659,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
71,,HMDB:HMDB0000042,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
72,,HMDB:HMDB0000294,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
73,,HMDB:HMDB0000820,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
74,,HMDB:HMDB0031225,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
75,,HMDB:HMDB0003551,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
76,,HMDB:HMDB0000149,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
77,,HMDB:HMDB0002878,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
78,,HMDB:HMDB0000595,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
79,,HMDB:HMDB0035731,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
80,,HMDB:HMDB0002303,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
81,,HMDB:HMDB0031430,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
82,,HMDB:HMDB0062693,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
83,,HMDB:HMDB0000657,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
84,,HMDB:HMDB0002179,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
85,,HMDB:HMDB0015532,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
86,,HMDB:HMDB0034834,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
87,,HMDB:HMDB0034825,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
88,,HMDB:HMDB0061878,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
89,,HMDB:HMDB0034826,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
90,,HMDB:HMDB0031323,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
91,,HMDB:HMDB0006853,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
92,,HMDB:HMDB0001525,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
93,,HMDB:HMDB0002077,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
94,,HMDB:HMDB0012497,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
95,,HMDB:HMDB0006804,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
96,,HMDB:HMDB0034233,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
97,,HMDB:HMDB0004101,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
98,,HMDB:HMDB0004296,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
99,,HMDB:HMDB0031641,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
100,,HMDB:HMDB0001478,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
101,,HMDB:HMDB0001167,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
102,,HMDB:HMDB0000246,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
103,,HMDB:HMDB0029603,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
104,,HMDB:HMDB0034106,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
105,,HMDB:HMDB0001106,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
106,,HMDB:HMDB0001522,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
107,,HMDB:HMDB0031321,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
108,,HMDB:HMDB0002501,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
109,,HMDB:HMDB0000119,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
110,,HMDB:HMDB0031635,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
111,,HMDB:HMDB0000237,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
112,,HMDB:HMDB0031419,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
113,,HMDB:HMDB0062210,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
114,,HMDB:HMDB0004327,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
115,,HMDB:HMDB0000002,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
116,,HMDB:HMDB0002290,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
117,,HMDB:HMDB0012974,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
118,,HMDB:HMDB0000123,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
119,,HMDB:HMDB0000925,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
120,,HMDB:HMDB0036574,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
121,,HMDB:HMDB0031188,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
122,,HMDB:HMDB0034155,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
123,,HMDB:HMDB0000115,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
124,,HMDB:HMDB0015140,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
125,,HMDB:HMDB0031238,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
126,,HMDB:HMDB0001881,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
127,,HMDB:HMDB0002991,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
128,,HMDB:HMDB0012295,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
129,,HMDB:HMDB0013860,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
130,,HMDB:HMDB0002151,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
131,,HMDB:HMDB0001505,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
132,,HMDB:HMDB0002500,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
133,,HMDB:HMDB0000926,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
134,,HMDB:HMDB0001349,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
135,,HMDB:HMDB0040184,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
136,,HMDB:HMDB0031332,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
137,,HMDB:HMDB0003361,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
138,,HMDB:HMDB0033113,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
139,,HMDB:HMDB0011110,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
140,,HMDB:HMDB0000240,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
141,,HMDB:HMDB0001443,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
142,,HMDB:HMDB0013749,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
143,,HMDB:HMDB0015344,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
144,,HMDB:HMDB0031544,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
145,,HMDB:HMDB0003929,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
146,,HMDB:HMDB0033529,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
147,,HMDB:HMDB0031548,intensity,uM,0,0,0,0,0,0,linear,ln(y),-1000000000000000.0,1000000000000000.0,ln(x),-1000000000000000.0,1000000000000000.0,False,1,0
